buyer_id,commodity_id,period_start,total_quantity
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-01-06,307.45
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-01-13,314.43
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-01-20,338.7
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-01-27,357.35
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-02-03,328.47
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-02-10,318.99
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-02-17,332.69
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-02-24,307.01
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-03-03,278.98
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-03-10,291.64
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-03-17,282.07
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-03-24,294.51
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-03-31,321.63
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-04-07,305.8
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-04-14,321.11
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-04-21,344.07
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-04-28,334.79
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-05-05,345.21
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-05-12,313.38
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-05-19,292.32
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-05-26,326.0
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-06-02,298.11
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-06-09,308.03
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-06-16,298.13
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-06-23,327.83
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-06-30,354.16
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-07-07,347.72
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-07-14,376.14
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-07-21,358.97
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-07-28,354.12
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-08-04,335.97
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-08-11,359.28
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-08-18,321.82
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-08-25,303.63
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-09-01,337.36
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-09-08,319.19
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-09-15,357.13
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-09-22,341.1
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-09-29,363.06
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-10-06,391.45
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-10-13,397.06
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-10-20,379.07
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-10-27,361.27
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-11-03,344.98
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-11-10,317.84
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-11-17,326.7
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-11-24,336.11
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-12-01,371.36
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-12-08,377.15
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-12-15,362.05
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-12-22,405.84
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2025-12-29,400.72
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2026-01-05,393.83
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2026-01-12,403.68
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2026-01-19,396.46
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2026-01-26,381.47
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2026-02-02,345.43
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2026-02-09,350.86
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2026-02-16,365.99
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2026-02-23,388.13
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2026-03-02,382.81
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2026-03-09,403.72
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2026-03-16,402.39
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2026-03-23,406.56
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2026-03-30,434.17
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2026-04-06,432.84
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2026-04-13,397.92
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2026-04-20,400.55
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2026-04-27,381.44
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2026-05-04,363.82
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2026-05-11,384.44
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2026-05-18,414.57
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2026-05-25,407.46
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2026-06-01,447.97
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2026-06-08,397.68
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2026-06-15,454.83
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2026-06-22,441.29
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2026-06-29,426.01
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2026-07-06,418.38
demo-buyer-001,24fdb2bc-59a7-4c98-ade8-e831c494c9c4,2026-07-13,373.69
